"Date","Location","Latitude","Longitude","Trap_Type","Quinx","Aeae","Aealb","Aem","Cxn","Psc","YearMonth","UTM_E","UTM_N","NDVI","Precip","TMean","WindMean","nightlight","Elevation","trees","shrubs","grassland","cropland","built","water","wetland","LC_majority_code","LC_majority_label"
"2018-08-06","Lasalle A",18.52258333,-72.38786111,"CDC Gravid",36,2,0,2,1,0,"2018-08",775778.667270234,2050001.74843232,154.845779390184,132.703139583117,27.4778312775095,2.12597680091858,3.40251441753067,295.221854138263,0.25625062310226,0.0107546240237258,0.224253898563308,0.000139381321160698,0.290622637655993,0.209568527697682,7.35623639459239e-05,50,"built"
"2018-08-06","Lasalle A",18.52258333,-72.38786111,"BG- Sentinel",18,11,1,4,1,0,"2018-08",775778.667270234,2050001.74843232,154.845779390184,132.703139583117,27.4778312775095,2.12597680091858,3.40251441753067,295.221854138263,0.25625062310226,0.0107546240237258,0.224253898563308,0.000139381321160698,0.290622637655993,0.209568527697682,7.35623639459239e-05,50,"built"
"2018-08-06","Lasalle A",18.52258333,-72.38786111,"CDC LT",25,4,0,1,1,0,"2018-08",775778.667270234,2050001.74843232,154.845779390184,132.703139583117,27.4778312775095,2.12597680091858,3.40251441753067,295.221854138263,0.25625062310226,0.0107546240237258,0.224253898563308,0.000139381321160698,0.290622637655993,0.209568527697682,7.35623639459239e-05,50,"built"
"2018-08-06","Jean jean",18.47418056,-72.54289167,"CDC Gravid",0,2,2,1,5,0,"2018-08",759475.837195981,2044412.12670641,167.426423451468,161.732433488388,26.4481051829393,2,0.0625680162665175,263.625002206867,0.392301899649418,0.0137542128931469,0.563752373835828,0.00418917898673749,0.00928143190938674,0.00199876492782184,0,30,"grassland"
"2018-08-06","Jean jean",18.47418056,-72.54289167,"BG- Sentinel",14,7,6,0,10,0,"2018-08",759475.837195981,2044412.12670641,167.426423451468,161.732433488388,26.4481051829393,2,0.0625680162665175,263.625002206867,0.392301899649418,0.0137542128931469,0.563752373835828,0.00418917898673749,0.00928143190938674,0.00199876492782184,0,30,"grassland"
"2018-08-06","Jean jean",18.47418056,-72.54289167,"CDC LT",0,0,0,6,0,0,"2018-08",759475.837195981,2044412.12670641,167.426423451468,161.732433488388,26.4481051829393,2,0.0625680162665175,263.625002206867,0.392301899649418,0.0137542128931469,0.563752373835828,0.00418917898673749,0.00928143190938674,0.00199876492782184,0,30,"grassland"
"2018-08-07","Lasalle A",18.52258333,-72.38786111,"CDC Gravid",10,8,1,1,3,1,"2018-08",775778.667270234,2050001.74843232,154.845779390184,132.703139583117,27.4778312775095,2.12597680091858,3.40251441753067,295.221854138263,0.25625062310226,0.0107546240237258,0.224253898563308,0.000139381321160698,0.290622637655993,0.209568527697682,7.35623639459239e-05,50,"built"
"2018-08-07","Lasalle A",18.52258333,-72.38786111,"BG- Sentinel",10,8,1,1,2,0,"2018-08",775778.667270234,2050001.74843232,154.845779390184,132.703139583117,27.4778312775095,2.12597680091858,3.40251441753067,295.221854138263,0.25625062310226,0.0107546240237258,0.224253898563308,0.000139381321160698,0.290622637655993,0.209568527697682,7.35623639459239e-05,50,"built"
"2018-08-07","Lasalle A",18.52258333,-72.38786111,"CDC LT",15,3,0,1,4,0,"2018-08",775778.667270234,2050001.74843232,154.845779390184,132.703139583117,27.4778312775095,2.12597680091858,3.40251441753067,295.221854138263,0.25625062310226,0.0107546240237258,0.224253898563308,0.000139381321160698,0.290622637655993,0.209568527697682,7.35623639459239e-05,50,"built"
"2018-08-07","Jean jean",18.47418056,-72.54289167,"CDC Gravid",9,2,4,0,4,0,"2018-08",759475.837195981,2044412.12670641,167.426423451468,161.732433488388,26.4481051829393,2,0.0625680162665175,263.625002206867,0.392301899649418,0.0137542128931469,0.563752373835828,0.00418917898673749,0.00928143190938674,0.00199876492782184,0,30,"grassland"
